Type,Series,Car,Axle,Position,Time,Mileage,tamian,zhijing
C70A,3,15,174660,1,0,0,0,829
C70A,3,15,174660,2,0,0,0,829
C70A,3,15,151568,3,0,0,0,824.9
C70A,3,15,151568,4,0,0,0,825.4
C70A,3,15,85679,5,0,0,0,824.1
C70A,3,15,85679,6,0,0,0,824.3
C70A,3,15,105486,7,0,0,0,824.6
C70A,3,15,105486,8,0,0,0,824.2
C70A,3,15,174660,1,137,58572,0.3,NA
C70A,3,15,174660,2,137,58572,0.3,NA
C70A,3,15,151568,3,137,58572,0.6,NA
C70A,3,15,151568,4,137,58572,0.4,NA
C70A,3,15,85679,5,137,58572,0.4,NA
C70A,3,15,85679,6,137,58572,0.3,NA
C70A,3,15,105486,7,137,58572,0.6,NA
C70A,3,15,105486,8,137,58572,0.5,NA
C70A,3,15,174660,1,193,85591,1.4,NA
C70A,3,15,174660,2,193,85591,2.1,NA
C70A,3,15,151568,3,193,85591,1.9,NA
C70A,3,15,151568,4,193,85591,1.6,NA
C70A,3,15,85679,5,193,85591,2.2,NA
C70A,3,15,85679,6,193,85591,2.5,NA
C70A,3,15,105486,7,193,85591,2.1,NA
C70A,3,15,105486,8,193,85591,3.6,NA
C70A,3,15,174660,1,239,106130,0.7,825.1
C70A,3,15,174660,2,239,106130,0.9,826.7
C70A,3,15,151568,3,239,106130,0.8,822
C70A,3,15,151568,4,239,106130,1.3,822.3
C70A,3,15,85679,5,239,106130,0.8,821.8
C70A,3,15,85679,6,239,106130,0.5,821.9
C70A,3,15,105486,7,239,106130,0.8,821.8
C70A,3,15,105486,8,239,106130,0.6,822
C70A,3,16,73977,1,0,0,0,823.5
C70A,3,16,73977,2,0,0,0,823.7
C70A,3,16,78548,3,0,0,0,822.9
C70A,3,16,78548,4,0,0,0,822.9
C70A,3,16,111586,5,0,0,0,822.8
C70A,3,16,111586,6,0,0,0,822.5
C70A,3,16,35033,7,0,0,0,822.9
C70A,3,16,35033,8,0,0,0,822.6
C70A,3,16,73977,1,137,58572,0.3,NA
C70A,3,16,73977,2,137,58572,0.4,NA
C70A,3,16,78548,3,137,58572,0.3,NA
C70A,3,16,78548,4,137,58572,0.4,NA
C70A,3,16,111586,5,137,58572,0.3,NA
C70A,3,16,111586,6,137,58572,0.4,NA
C70A,3,16,35033,7,137,58572,0.3,NA
C70A,3,16,35033,8,137,58572,0.5,NA
C70A,3,16,73977,1,193,85591,1.6,NA
C70A,3,16,73977,2,193,85591,0.9,NA
C70A,3,16,78548,3,193,85591,1.8,NA
C70A,3,16,78548,4,193,85591,1.5,NA
C70A,3,16,111586,5,193,85591,3.7,NA
C70A,3,16,111586,6,193,85591,2.1,NA
C70A,3,16,35033,7,193,85591,1.1,NA
C70A,3,16,35033,8,193,85591,3.4,NA
C70A,3,16,73977,1,239,106130,1.4,820.1
C70A,3,16,73977,2,239,106130,1.6,820.5
C70A,3,16,78548,3,239,106130,0.7,820
C70A,3,16,78548,4,239,106130,1.3,819.9
C70A,3,16,111586,5,239,106130,0.6,820.1
C70A,3,16,111586,6,239,106130,0.6,819.8
C70A,3,16,35033,7,239,106130,1.4,818.4
C70A,3,16,35033,8,239,106130,1.6,818.5
C70A,3,17,200531,1,0,0,NA,NA
C70A,3,17,200531,2,0,0,NA,NA
C70A,3,17,110857,3,0,0,0,825
C70A,3,17,110857,4,0,0,0,825.1
C70A,3,17,84,5,0,0,0,823.9
C70A,3,17,84,6,0,0,0,824
C70A,3,17,201568,7,0,0,NA,NA
C70A,3,17,201568,8,0,0,NA,NA
C70A,3,17,200531,1,137,58572,0.5,NA
C70A,3,17,200531,2,137,58572,0.7,NA
C70A,3,17,110857,3,137,58572,1,NA
C70A,3,17,110857,4,137,58572,0.8,NA
C70A,3,17,84,5,137,58572,0.7,NA
C70A,3,17,84,6,137,58572,0.5,NA
C70A,3,17,201568,7,137,58572,0.6,NA
C70A,3,17,201568,8,137,58572,0.7,NA
C70A,3,17,200531,1,193,85591,1.4,NA
C70A,3,17,200531,2,193,85591,1.5,NA
C70A,3,17,110857,3,193,85591,1.2,NA
